127.0.0.1 - - [10/Mar/2023:09:38:41 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:09:15 +0900] "GET /jQuery/05_Effect01.html HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:09:15 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:11:26 +0900] "GET /jQuery/05_Effect01.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:11:26 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:11:39 +0900] "GET /jQuery/05_Effect01.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:11:39 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:12:22 +0900] "GET /jQuery/05_Effect01.html HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:12:22 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:12:24 +0900] "GET /jQuery/05_Effect01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:13:38 +0900] "GET /jQuery/05_Effect01.html HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:13:38 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:13:40 +0900] "GET /jQuery/05_Effect01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:15:31 +0900] "GET /jQuery/05_Effect02.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:15:31 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:16:54 +0900] "GET /jQuery/05_Effect02.html HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:16:55 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:20:44 +0900] "GET /jQuery/05_Effect02.html HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:20:44 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:34:14 +0900] "GET /jQuery/05_Effect03.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:34:14 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:34:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:36:49 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:37:03 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:37:05 +0900] "GET /jQuery/05_Effect03.html HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:38:08 +0900] "GET /jQuery/05_Effect03.html HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:39:18 +0900] "GET /jQuery/05_Effect03.html HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:39:18 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:39:27 +0900] "GET /jQuery/05_Effect03.html HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:39:27 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:42:28 +0900] "GET /jQuery/05_Effect04.html HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:42:28 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:42:48 +0900] "GET /jQuery/05_Effect04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:42:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:47:43 +0900] "GET /jQuery/05_Effect04.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:47:43 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:48:48 +0900] "GET /jQuery/05_Effect04.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:52:07 +0900] "GET /jQuery/05_Effect05.html HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:01:55 +0900] "GET /jQuery/05_Effect05.html HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:03:04 +0900] "GET /jQuery/05_Effect05.html HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:04:23 +0900] "GET /jQuery/05_Effect05.html HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:04:35 +0900] "GET /jQuery/05_Effect05.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:06:23 +0900] "GET /jQuery/05_Effect05.html HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:07:51 +0900] "GET /jQuery/05_Effect05.html HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:07:51 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:10:23 +0900] "GET /jQuery/05_Effect06.html HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:10:23 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:14:33 +0900] "GET /jQuery/05_Effect06.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:14:33 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:16:58 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:16:58 +0900] "GET /jQuery/img/Desert.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:16:58 +0900] "GET /jQuery/img/Hydrangeas.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:16:58 +0900] "GET /jQuery/img/Chrysanthemum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:16:58 +0900] "GET /jQuery/img/Koala.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:16:58 +0900] "GET /jQuery/img/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:16:58 +0900] "GET /jQuery/img/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:16:58 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:41:24 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:41:24 +0900] "GET /jQuery/js/jquery.innerfade.js HTTP/1.1" 200 5285
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:41:24 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:41:27 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:41:27 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:49:59 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:49:59 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:49:59 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:31 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:31 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:31 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:33 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:33 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:54 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:54 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:54 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:55 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:55 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:55 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:55 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:55 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:50:55 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:51:38 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:51:38 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:51:38 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:51:39 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:51:39 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:52:26 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:52:26 +0900] "GET /jQuery/js/sjquery.innerfade.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:52:26 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:53:04 +0900] "GET /jQuery/06_innerfade_plugIn.html HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:53:04 +0900] "GET /jQuery/js/jquery.innerfade.js HTTP/1.1" 200 5284
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:53:04 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:57:26 +0900] "GET /jQuery/07_animate1.html HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:57:26 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:02:41 +0900] "GET /jQuery/07_animate1.html HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:02:41 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:02:46 +0900] "GET /jQuery/07_animate1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:03:59 +0900] "GET /jQuery/07_animate1.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:03:59 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:06:30 +0900] "GET /jQuery/07_animate1.html HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:06:40 +0900] "GET /jQuery/08_animate2.html HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:11:47 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:12:00 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:12:03 +0900] "GET /jQuery/08_animate2.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:12:03 +0900] "GET /jQuery/08_animate2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:36:12 +0900] "GET /javaScript/quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:36:12 +0900] "GET /javaScript/quiz.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:36:12 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:46:49 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:47:01 +0900] "GET /javaScript/quiz.html HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:47:42 +0900] "GET /javaScript/quiz.html HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:47:42 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:50:47 +0900] "GET /javaScript/quiz.html HTTP/1.1" 200 2315
0:0:0:0:0:0:0:1 - - [10/Mar/2023:17:50:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
